     1.030      1.198      0.769      0.769     -0.080     -0.080
     1.040      1.206      0.768      0.768     -0.076     -0.076
     1.050      1.214      0.767      0.767     -0.073     -0.073
     1.060      1.221      0.766      0.766     -0.072     -0.072
     1.070      1.229      0.766      0.766     -0.067     -0.067
     1.080      1.237      0.765      0.765     -0.067     -0.067
     1.090      1.244      0.764      0.764     -0.062     -0.062
     1.100      1.252      0.764      0.764     -0.061     -0.061
     1.110      1.260      0.763      0.763     -0.057     -0.057
     1.120      1.267      0.762      0.762     -0.055     -0.055
     1.130      1.275      0.762      0.762     -0.052     -0.052
     1.140      1.282      0.761      0.761     -0.051     -0.051
     1.150      1.290      0.761      0.761     -0.048     -0.048
     1.160      1.298      0.760      0.760     -0.046     -0.046
     1.170      1.305      0.760      0.760     -0.043     -0.043
     1.180      1.313      0.759      0.759     -0.043     -0.043
     1.190      1.320      0.759      0.759     -0.038     -0.038
     1.200      1.328      0.759      0.759     -0.038     -0.038
     1.210      1.336      0.758      0.758     -0.035     -0.035
     1.220      1.343      0.758      0.758     -0.035     -0.035
     1.230      1.351      0.758      0.758     -0.031     -0.031
     1.240      1.358      0.757      0.757     -0.030     -0.030
     1.250      1.366      0.757      0.757     -0.027     -0.027
     1.260      1.374      0.757      0.757     -0.026     -0.026
     1.270      1.381      0.756      0.756     -0.024     -0.024
     1.280      1.389      0.756      0.756     -0.024     -0.024
     1.290      1.396      0.756      0.756     -0.019     -0.019
     1.300      1.404      0.756      0.756     -0.020     -0.020
     1.310      1.411      0.756      0.756     -0.017     -0.017
     1.320      1.419      0.755      0.755     -0.015     -0.015
     1.330      1.426      0.755      0.755     -0.015     -0.015
     1.340      1.434      0.755      0.755     -0.012     -0.012
     1.350      1.442      0.755      0.755     -0.011     -0.011
     1.360      1.449      0.755      0.755     -0.011     -0.011
     1.370      1.457      0.755      0.755     -0.007     -0.007
     1.380      1.464      0.755      0.755     -0.007     -0.007
     1.390      1.472      0.755      0.755     -0.005     -0.005
     1.400      1.479      0.755      0.755     -0.005     -0.005
     1.410      1.487      0.754      0.754     -0.002     -0.002
     1.420      1.494      0.754      0.754     -0.001     -0.001
     1.430      1.502      0.754      0.754      0.000      0.000
     1.440      1.509      0.754      0.754      0.002      0.002
     1.450      1.517      0.754      0.754      0.001      0.001
     1.460      1.525      0.754      0.754      0.005      0.005
     1.470      1.532      0.755      0.755      0.005      0.005
     1.480      1.540      0.755      0.755      0.007      0.007
     1.490      1.547      0.755      0.755      0.007      0.007
     1.500      1.555      0.755      0.755      0.008      0.008
     1.510      1.562      0.755      0.755      0.010      0.010
     1.520      1.570      0.755      0.755      0.012      0.012
     1.530      1.577      0.755      0.755      0.012      0.012
     1.540      1.585      0.755      0.755      0.013      0.013
     1.550      1.592      0.755      0.755      0.014      0.014
     1.560      1.600      0.755      0.755      0.015      0.015
     1.570      1.608      0.756      0.756      0.017      0.017
     1.580      1.615      0.756      0.756      0.017      0.017
     1.590      1.623      0.756      0.756      0.019      0.019
     1.600      1.630      0.756      0.756      0.019      0.019
     1.610      1.638      0.756      0.756      0.021      0.021
     1.620      1.645      0.756      0.756      0.020      0.020
     1.630      1.653      0.757      0.757      0.023      0.023
     1.640      1.661      0.757      0.757      0.024      0.024
     1.650      1.668      0.757      0.757      0.024      0.024
     1.660      1.676      0.757      0.757      0.025      0.025
     1.670      1.683      0.758      0.758      0.027      0.027
     1.680      1.691      0.758      0.758      0.025      0.025
     1.690      1.698      0.758      0.758      0.029      0.029
     1.700      1.706      0.758      0.758      0.029      0.029
     1.710      1.714      0.759      0.759      0.030      0.030
     1.720      1.721      0.759      0.759      0.031      0.031
     1.730      1.729      0.759      0.759      0.030      0.030
     1.740      1.736      0.760      0.760      0.033      0.033
     1.750      1.744      0.760      0.760      0.032      0.032
     1.760      1.752      0.760      0.760      0.033      0.033
     1.770      1.759      0.761      0.761      0.035      0.035
     1.780      1.767      0.761      0.761      0.036      0.036
     1.790      1.774      0.761      0.761      0.036      0.036
     1.800      1.782      0.762      0.762      0.037      0.037
     1.810      1.790      0.762      0.762      0.037      0.037
     1.820      1.797      0.762      0.762      0.038      0.038
     1.830      1.805      0.763      0.763      0.038      0.038
     1.840      1.812      0.763      0.763      0.041      0.041
     1.850      1.820      0.764      0.764      0.041      0.041
     1.860      1.828      0.764      0.764      0.041      0.041
     1.870      1.835      0.764      0.764      0.043      0.043
     1.880      1.843      0.765      0.765      0.041      0.041
     1.890      1.851      0.765      0.765      0.044      0.044
     1.900      1.858      0.766      0.766      0.044      0.044
     1.910      1.866      0.766      0.766      0.044      0.044
     1.920      1.874      0.767      0.767      0.044      0.044
     1.930      1.881      0.767      0.767      0.046      0.046
     1.940      1.889      0.767      0.767      0.046      0.046
     1.950      1.897      0.768      0.768      0.046      0.046
     1.960      1.904      0.768      0.768      0.048      0.048
     1.970      1.912      0.769      0.769      0.049      0.049
     1.980      1.920      0.769      0.769      0.048      0.048
     1.990      1.927      0.770      0.770      0.051      0.050
     2.000      1.935      0.770      0.770      0.048      0.049
     2.010      1.943      0.771      0.771      0.051      0.051
     2.020      1.950      0.771      0.771      0.051      0.051
     2.030      1.958      0.772      0.772      0.051      0.051
     2.040      1.966      0.772      0.772      0.052      0.052
     2.050      1.974      0.773      0.773      0.054      0.054
     2.060      1.981      0.773      0.773      0.052      0.052
     2.070      1.989      0.774      0.774      0.054      0.054
     2.080      1.997      0.775      0.775      0.055      0.055
     2.090      2.005      0.775      0.775      0.055      0.055
     2.100      2.012      0.776      0.776      0.055      0.055
     2.110      2.020      0.776      0.776      0.057      0.057
     2.120      2.028      0.777      0.777      0.057      0.057
     2.130      2.036      0.777      0.777      0.055      0.055
     2.140      2.043      0.778      0.778      0.060      0.060
     2.150      2.051      0.778      0.778      0.057      0.057
     2.160      2.059      0.779      0.779      0.057      0.057
     2.170      2.067      0.780      0.780      0.060      0.060
     2.180      2.075      0.780      0.780      0.060      0.060
     2.190      2.082      0.781      0.781      0.062      0.062
     2.200      2.090      0.781      0.781      0.060      0.060
     2.210      2.098      0.782      0.782      0.060      0.060
     2.220      2.106      0.783      0.783      0.062      0.062
     2.230      2.114      0.783      0.783      0.062      0.062
     2.240      2.121      0.784      0.784      0.062      0.062
     2.250      2.129      0.784      0.784      0.062      0.062
     2.260      2.137      0.785      0.785      0.064      0.064
     2.270      2.145      0.786      0.786      0.064      0.064
     2.280      2.153      0.786      0.786      0.064      0.064
     2.290      2.161      0.787      0.787      0.062      0.062
     2.300      2.169      0.788      0.788      0.067      0.067
     2.310      2.176      0.788      0.788      0.067      0.067
     2.320      2.184      0.789      0.789      0.064      0.064
     2.330      2.192      0.790      0.790      0.067      0.067
     2.340      2.200      0.790      0.790      0.064      0.064
     2.350      2.208      0.791      0.791      0.069      0.069
     2.360      2.216      0.792      0.792      0.067      0.067
     2.370      2.224      0.792      0.792      0.069      0.069
     2.380      2.232      0.793      0.793      0.067      0.067
     2.390      2.240      0.794      0.794      0.072      0.072
     2.400      2.248      0.794      0.794      0.067      0.067
     2.410      2.256      0.795      0.795      0.069      0.069
     2.420      2.264      0.796      0.796      0.072      0.072
     2.430      2.271      0.796      0.796      0.069      0.069
     2.440      2.279      0.797      0.797      0.072      0.072
     2.450      2.287      0.798      0.798      0.069      0.069
     2.460      2.295      0.799      0.799      0.074      0.074
     2.470      2.303      0.799      0.799      0.069      0.069
     2.480      2.311      0.800      0.800      0.074      0.074
     2.490      2.319      0.801      0.801      0.072      0.072
     2.500      2.327      0.801      0.801      0.074      0.074
     2.510      2.335      0.802      0.802      0.074      0.074
     2.520      2.343      0.803      0.803      0.072      0.072
     2.530      2.351      0.804      0.804      0.076      0.076
     2.540      2.359      0.804      0.804      0.074      0.074
     2.550      2.368      0.805      0.805      0.074      0.074
     2.560      2.376      0.806      0.806      0.074      0.074
     2.570      2.384      0.807      0.807      0.076      0.076
     2.580      2.392      0.807      0.807      0.076      0.076
     2.590      2.400      0.808      0.808      0.076      0.076
     2.600      2.408      0.809      0.809      0.074      0.074
     2.610      2.416      0.810      0.810      0.079      0.079
     2.620      2.424      0.810      0.810      0.079      0.079
     2.630      2.432      0.811      0.811      0.074      0.074
     2.640      2.440      0.812      0.812      0.081      0.081
     2.650      2.448      0.813      0.813      0.076      0.076
     2.660      2.456      0.813      0.813      0.076      0.076
     2.670      2.465      0.814      0.814      0.081      0.081
     2.680      2.473      0.815      0.815      0.079      0.079
     2.690      2.481      0.816      0.816      0.081      0.081
     2.700      2.489      0.817      0.817      0.076      0.076
     2.710      2.497      0.817      0.817      0.083      0.083
     2.720      2.505      0.818      0.818      0.076      0.076
     2.730      2.514      0.819      0.819      0.083      0.083
     2.740      2.522      0.820      0.820      0.081      0.081
     2.750      2.530      0.821      0.821      0.079      0.079
     2.760      2.538      0.821      0.821      0.083      0.083
     2.770      2.546      0.822      0.822      0.081      0.081
     2.780      2.555      0.823      0.823      0.083      0.083
     2.790      2.563      0.824      0.824      0.081      0.081
     2.800      2.571      0.825      0.825      0.083      0.083
     2.810      2.579      0.826      0.826      0.081      0.081
     2.820      2.588      0.826      0.826      0.086      0.086
     2.830      2.596      0.827      0.827      0.081      0.081
     2.840      2.604      0.828      0.828      0.086      0.086
     2.850      2.612      0.829      0.829      0.083      0.083
     2.860      2.621      0.830      0.830      0.083      0.083
     2.870      2.629      0.831      0.831      0.086      0.086
     2.880      2.637      0.831      0.831      0.083      0.083
     2.890      2.646      0.832      0.832      0.086      0.086
     2.900      2.654      0.833      0.833      0.086      0.086
     2.910      2.662      0.834      0.834      0.086      0.086
     2.920      2.671      0.835      0.835      0.086      0.086
     2.930      2.679      0.836      0.836      0.088      0.088
     2.940      2.687      0.837      0.837      0.083      0.083
     2.950      2.696      0.837      0.837      0.088      0.088
     2.960      2.704      0.838      0.838      0.088      0.088
     2.970      2.712      0.839      0.839      0.086      0.086
     2.980      2.721      0.840      0.840      0.088      0.088
     2.990      2.729      0.841      0.841      0.088      0.088
     3.000      2.738      0.842      0.842      0.088      0.088
     3.010      2.746      0.843      0.843      0.088      0.088
     3.020      2.754      0.844      0.844      0.088      0.088
     3.030      2.763      0.844      0.844      0.088      0.088
